Using downloaded and verified file: data/train_32x32.mat
Using downloaded and verified file: data/test_32x32.mat
INFO:__main__:Epoch 80, G Loss:-1.66, D Loss:-3.11, G WD:3.72, gp:0.61, Time: 23.40.
INFO:__main__:Epoch 81, G Loss:-1.46, D Loss:-3.08, G WD:3.68, gp:0.60, Time: 23.21.
INFO:__main__:Epoch 82, G Loss:-1.10, D Loss:-3.10, G WD:3.72, gp:0.62, Time: 23.29.
INFO:__main__:Epoch 83, G Loss:-0.99, D Loss:-3.12, G WD:3.76, gp:0.64, Time: 23.36.
INFO:__main__:Epoch 84, G Loss:-1.30, D Loss:-3.09, G WD:3.72, gp:0.63, Time: 23.03.
INFO:__main__:Epoch 85, G Loss:-1.43, D Loss:-3.13, G WD:3.76, gp:0.63, Time: 23.04.
INFO:__main__:Epoch 86, G Loss:-1.81, D Loss:-3.13, G WD:3.75, gp:0.63, Time: 23.22.
INFO:__main__:Epoch 87, G Loss:-1.84, D Loss:-3.09, G WD:3.69, gp:0.61, Time: 23.41.
INFO:__main__:Epoch 88, G Loss:-1.43, D Loss:-3.11, G WD:3.74, gp:0.63, Time: 23.20.
INFO:__main__:Epoch 89, G Loss:-1.33, D Loss:-3.09, G WD:3.72, gp:0.62, Time: 23.39.
INFO:__main__:Epoch 90, G Loss:-1.28, D Loss:-3.12, G WD:3.75, gp:0.63, Time: 23.30.
INFO:__main__:Epoch 91, G Loss:-1.77, D Loss:-3.08, G WD:3.68, gp:0.61, Time: 23.37.
INFO:__main__:Epoch 92, G Loss:-1.56, D Loss:-3.10, G WD:3.72, gp:0.62, Time: 23.16.
INFO:__main__:Epoch 93, G Loss:-1.38, D Loss:-3.12, G WD:3.76, gp:0.63, Time: 23.23.
INFO:__main__:Epoch 94, G Loss:-1.31, D Loss:-3.08, G WD:3.71, gp:0.63, Time: 23.32.
INFO:__main__:Epoch 95, G Loss:-1.32, D Loss:-3.11, G WD:3.75, gp:0.64, Time: 23.25.
INFO:__main__:Epoch 96, G Loss:-1.91, D Loss:-3.09, G WD:3.70, gp:0.61, Time: 23.42.
INFO:__main__:Epoch 97, G Loss:-1.39, D Loss:-3.07, G WD:3.70, gp:0.62, Time: 23.17.
INFO:__main__:Epoch 98, G Loss:-0.79, D Loss:-3.12, G WD:3.75, gp:0.63, Time: 23.40.
INFO:__main__:Epoch 99, G Loss:-0.75, D Loss:-3.10, G WD:3.73, gp:0.63, Time: 23.29.
INFO:__main__:Epoch 100, G Loss:-0.98, D Loss:-3.07, G WD:3.70, gp:0.62, Time: 23.10.
INFO:__main__:Epoch 101, G Loss:-1.69, D Loss:-3.09, G WD:3.72, gp:0.63, Time: 23.12.
INFO:__main__:Epoch 102, G Loss:-1.42, D Loss:-3.03, G WD:3.65, gp:0.62, Time: 23.08.
INFO:__main__:Epoch 103, G Loss:-0.79, D Loss:-3.04, G WD:3.66, gp:0.61, Time: 23.34.
